Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,156397,7288,0,149109,0,4.66,0.0,0.0,38928341,4018.0,156284,113,0.07
Albania,189355,2966,0,186389,230,1.57,0.0,0.0,2877800,65799.0,185497,3858,2.08
Algeria,207254,5950,0,201304,98,2.87,0.0,0.0,43851043,4726.0,206566,688,0.33
Andorra,15705,130,0,15575,87,0.83,0.0,0.0,77265,203262.0,15516,189,1.22
Angola,64724,1721,0,63003,50,2.66,0.0,0.0,32866268,1969.0,64458,266,0.41
Antigua and Barbuda,4091,105,0,3986,0,2.57,0.0,0.0,97928,41776.0,4062,29,0.71
Argentina,5298069,116143,0,5181926,1288,2.19,0.0,0.0,45195777,117225.0,5289945,8124,0.15
Armenia,321243,6700,0,314543,810,2.09,0.0,0.0,2963234,108410.0,309397,11846,3.83
Australia,182870,1841,0,181029,1292,1.01,0.0,0.0,50919400,3591.0,173165,9705,5.6
Austria,892065,11515,0,880550,8178,1.29,0.0,0.0,9006400,99048.0,835504,56561,6.77
Azerbaijan,548591,7293,0,541298,1310,1.33,0.0,0.0,10139175,54106.0,532570,16021,3.01
Bahamas,22529,661,0,21868,44,2.93,0.0,0.0,393248,57290.0,22407,122,0.54
Bahrain,277098,1393,0,275705,17,0.5,0.0,0.0,1701583,162847.0,276874,224,0.08
Bangladesh,1571228,27901,0,1543327,215,1.78,0.0,0.0,164689383,9541.0,1569753,1475,0.09
Barbados,20265,181,0,20084,196,0.89,0.0,0.0,287371,70519.0,18023,2242,12.44
Belarus,615814,4758,0,611056,1887,0.77,0.0,0.0,9449321,65170.0,602058,13756,2.28
Belgium,1438830,26200,0,1412630,24367,1.82,0.0,0.0,22985282,62598.0,1360650,78180,5.75
Belize,28162,509,0,27653,268,1.81,0.0,0.0,397621,70826.0,27149,1013,3.73
Benin,24804,161,0,24643,0,0.65,0.0,0.0,12123198,2046.0,24749,55,0.22
Bhutan,2623,3,0,2620,0,0.11,0.0,0.0,771612,3399.0,2621,2,0.08
Bolivia,518266,18967,0,499299,364,3.66,0.0,0.0,11673029,44399.0,513810,4456,0.87
Bosnia and Herzegovina,259913,11840,0,248073,2512,4.56,0.0,0.0,3280815,79222.0,254348,5565,2.19
Botswana,193449,2409,0,191040,514,1.25,0.0,0.0,2351625,82262.0,187281,6168,3.29
Brazil,21886077,609573,0,21276504,5638,2.79,0.0,0.0,422706534,51776.0,21814693,71384,0.33
Brunei,13782,93,0,13689,40,0.67,0.0,0.0,437483,31503.0,13246,536,4.05
Bulgaria,638048,25408,0,612640,5286,3.98,0.0,0.0,6948445,91826.0,608499,29549,4.86
